Category: All categories

DMA,Solar eclipse: (7/25/17 - 8/1/17)
Chattanooga TN,100
Idaho Falls-Pocatello ID,98
Bend OR,93
Lincoln & Hastings-Kearney NE,93
Eugene OR,92
St. Joseph MO,90
Boise ID,83
Nashville TN,83
Columbia SC,83
Bowling Green KY,82
Charleston SC,82
Portland OR,82
Columbia-Jefferson City MO,81
Casper-Riverton WY,81
Knoxville TN,79
Twin Falls ID,78
Greenville-Spartanburg SC-Asheville NC-Anderson SC,76
Alpena MI,74
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,74
St. Louis MO,68
Kansas City MO,66
North Platte NE,65
Atlanta GA,63
Augusta GA,61
Evansville IN,61
Spokane WA,59
Medford-Klamath Falls OR,58
Ottumwa IA-Kirksville MO,58
Topeka KS,57
Cheyenne WY-Scottsbluff NE,57
Omaha NE,57
Florence-Myrtle Beach SC,57
Butte-Bozeman MT,54
"Billings, MT",53
Tri-Cities TN-VA,53
Quincy IL-Hannibal MO-Keokuk IA,51
Helena MT,50
Lexington KY,48
Joplin MO-Pittsburg KS,47
Rapid City SD,47
Louisville KY,45
Yakima-Pasco-Richland-Kennewick WA,45
Seattle-Tacoma WA,43
Tallahassee FL-Thomasville GA,42
Charlotte NC,42
Springfield MO,42
Wilmington NC,41
Raleigh-Durham (Fayetteville) NC,41
Salt Lake City UT,40
Denver CO,39
Champaign & Springfield-Decatur IL,38
Ft. Smith-Fayetteville-Springdale-Rogers AR,38
Huntsville-Decatur (Florence) AL,38
Jackson TN,37
Bluefield-Beckley-Oak Hill WV,36
Sioux City IA,36
Wichita-Hutchinson KS,36
Peoria-Bloomington IL,36
Columbus-Tupelo-West Point MS,36
Great Falls MT,35
Greensboro-High Point-Winston Salem NC,35
Missoula MT,34
Macon GA,34
Grand Junction-Montrose CO,33
Des Moines-Ames IA,33
Harrisonburg VA,33
Savannah GA,32
Zanesville OH,31
Jonesboro AR,30
Roanoke-Lynchburg VA,30
Greenville-New Bern-Washington NC,29
Indianapolis IN,28
Charlottesville VA,28
Cincinnati OH,28
Colorado Springs-Pueblo CO,28
Birmingham AL,27
Parkersburg WV,27
Madison WI,27
Lima OH,27
Meridian MS,27
Columbus GA,27
Wausau-Rhinelander WI,26
Clarksburg-Weston WV,26
Chicago IL,25
Gainesville FL,25
Little Rock-Pine Bluff AR,25
Minot-Bismarck-Dickinson(Williston) ND,25
Dayton OH,25
Oklahoma City OK,25
Marquette MI,25
Mankato MN,25
Davenport IA-Rock Island-Moline IL,25
South Bend-Elkhart IN,25
Sherman TX-Ada OK,24
San Francisco-Oakland-San Jose CA,23
Rochester MN-Mason City IA-Austin MN,23
La Crosse-Eau Claire WI,23
Ft. Wayne IN,23
Burlington VT-Plattsburgh NY,23
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,23
Jacksonville FL,23
Pittsburgh PA,23
Austin TX,23
Richmond-Petersburg VA,23
Grand Rapids-Kalamazoo-Battle Creek MI,23
Memphis TN,22
Traverse City-Cadillac MI,22
Columbus OH,22
Lansing MI,22
Washington DC (Hagerstown MD),22
Montgomery (Selma) AL,22
Rockford IL,22
Panama City FL,22
Eureka CA,22
Charleston-Huntington WV,21
Norfolk-Portsmouth-Newport News VA,21
Minneapolis-St. Paul MN,21
Dothan AL,21
Cleveland-Akron (Canton) OH,21
Toledo OH,21
Chico-Redding CA,21
Hattiesburg-Laurel MS,20
Rochester NY,20
Wheeling WV-Steubenville OH,20
Monterey-Salinas CA,20
Baltimore MD,20
Sioux Falls(Mitchell) SD,20
Mobile AL-Pensacola (Ft. Walton Beach) FL,20
Johnstown-Altoona PA,20
Alexandria LA,20
New Orleans LA,20
Detroit MI,19
Portland-Auburn ME,19
Albany-Schenectady-Troy NY,19
Orlando-Daytona Beach-Melbourne FL,19
Sacramento-Stockton-Modesto CA,19
Wichita Falls TX & Lawton OK,19
Harrisburg-Lancaster-Lebanon-York PA,19
